player ID, timestamp, x, y, rotx, roty
,4.097122,0.9817804,-2.730437,-38.68211,9.371636
,8.217216,-10.19855,1.421226,-73.41078,7.670319
,12.38396,-12.642,0.03090292,-42.43479,3.867177
,16.49988,-12.74331,0.4952466,-11.01555,5.491881
,20.62448,-13.77581,5.476621,-10.29069,2.267474
,24.74039,-11.72709,3.568283,-78.02826,5.591864
,28.86774,-24.61644,8.079834,-10.17097,6.520002
,33.00451,-20.33104,21.51489,68.99323,4.74366
,37.1246,-4.80092,23.71566,87.43373,3.867822
,41.25794,11.10589,22.05827,124.3772,3.292698
,45.37385,21.91655,17.52429,164.5949,5.217348
,49.50158,23.43449,1.458637,178.7443,3.442398
,53.63834,23.54634,-14.98772,183.3726,3.617573
,57.75845,12.59021,-23.5003,272.2222,3.542233
,61.89523,-3.815426,-23.33271,267.6934,3.391935
,66.01533,-16.273,-20.64415,303.6734,5.893912
,70.13541,-22.76159,-23.18246,311.1306,9.699134
,74.27219,-12.96205,-24.07198,71.75583,9.774368
,78.40897,2.852414,-23.54097,83.86588,6.67112
,82.52908,18.7148,-21.4801,60.4715,6.596148
,86.64916,28.32943,-6.829995,324.1939,1.041363
,90.78594,22.1619,4.674688,252.5603,4.745916
