Time,Building Name
5.892822,Gym
13.93188,Bakery
16.63403,Pizerria
27.04346,Bike Shop
32.84814,Book Store
40.03784,Cafe
57.93628,Jewelry
69.01172,Toy Store
76.65137,Supermarket
85.79175,Barber
93.91772,Gallery
101.6396,Pharmacy
116.4836,Dentist
124.4084,Hardware Store
135.0825,Music Store
149.2275,Bank
158.1018,Butcher
162.0383,Boutique
173.2317,Pet Store
