Time,Building Name
10.66309,Pharmacy
15.91724,Gym
22.63867,Jewelry
27.84326,Bank
30.61304,Butcher
36.68384,Music Store
42.05566,Dentist
45.02441,Cafe
46.74194,Pizerria
50.21216,Boutique
52.61377,Gallery
55.46631,Pet Store
60.17334,Bakery
62.73877,Supermarket
69.79468,Toy Store
71.33032,Book Store
75.68311,Bike Shop
79.43604,Hardware Store
81.20508,Barber
