Time,Building Name
10.04541,Bank
19.15283,Pizerria
23.4231,Bakery
29.99609,Book Store
34.09863,Bike Shop
58.25195,Boutique
62.15527,Toy Store
75.3999,Barber
81.90503,Pet Store
85.00757,Supermarket
97.86841,Hardware Store
108.8943,Dentist
138.3035,Music Store
151.2793,Pharmacy
153.6147,Gym
166.759,Jewelry
169.3279,Butcher
171.5962,Gallery
192.4136,Cafe
