player ID, trial, timestamp, x, y, rotx, roty
,1,0.3382111,-44.187,-2.6,252.5603,-4.745916
,1,0.6881409,-44.187,-2.6,215.2422,-2.771278
,1,1.038086,-44.187,-2.6,205.7439,-4.021048
,1,1.388016,-44.187,-2.6,175.7994,-2.621305
,1,1.737946,-44.187,-2.6,161.4271,-3.646117
,1,2.087891,-44.187,-2.6,99.36346,0.7530754
,1,2.438126,-44.187,-2.6,70.42169,-2.69964
,1,2.788467,-44.187,-2.6,69.64502,-3.324891
,1,3.138748,-44.187,-2.6,28.59123,-3.150944
,1,3.489014,-44.17611,-2.551158,11.22902,-1.675038
,1,3.839294,-43.97147,-1.520425,11.22902,-1.675038
,1,4.189575,-43.79508,-0.1328153,3.621311,-2.025498
,1,4.539886,-43.7254,1.265916,1.469657,-1.550088
,1,4.890198,-43.73929,2.666661,-0.783738,-1.274779
,1,5.240494,-43.77449,4.066882,-3.436613,-1.424896
,1,5.59079,-43.87162,5.464272,-4.011703,-1.399852
,1,5.941071,-44.31736,6.693954,-3.711631,-1.39998
,1,6.291382,-44.53333,8.084224,-2.084887,-1.95067
,1,6.641602,-44.58247,9.483408,-2.0099,-1.95067
,1,6.991943,-44.64776,10.88231,-3.66123,-2.150886
,1,7.342239,-44.76739,12.27731,-5.487585,-2.075992
,1,7.692551,-44.90017,13.67131,-5.012211,-1.850757
,1,8.042831,-45.01619,15.06698,-4.686627,-1.750709
,1,8.393143,-45.13797,16.46227,-5.387392,-1.650495
,1,8.743423,-45.27463,17.85616,-5.637506,-1.650495
,1,9.093704,-45.40887,19.25021,-5.487392,-1.675525
,1,9.44397,-45.54393,20.64415,-5.562378,-1.675525
,1,9.794281,-45.68089,22.03815,-6.113666,-1.700607
,1,10.14456,-45.87322,23.42518,-8.690531,-1.775587
,1,10.49487,-46.09328,24.80837,-9.816659,-1.600413
,1,10.84518,-46.40298,26.17379,-15.42095,-1.475352
,1,11.19543,-46.83027,27.50693,-21.70138,-1.42525
,1,11.54575,-47.45009,28.76227,-28.85711,-1.350171
,1,11.89603,-48.21984,29.93045,-37.03913,-1.475106
,1,12.24722,-49.06572,31.05138,-37.03913,-1.475106
,1,12.5976,-49.91336,32.16701,-37.49058,-1.349815
,1,12.9476,-49.95189,33.27655,-36.96416,-1.349815
,1,13.29788,-49.9956,34.59651,1.54387,-4.201667
,1,13.6481,-49.87146,35.98708,5.424143,-4.627697
,1,13.99847,-49.37044,37.26765,33.26596,-5.52885
,1,14.34851,-48.47184,38.32692,44.59384,-5.529406
,1,14.69897,-47.46899,39.29663,50.36778,-4.454603
,1,15.04929,-46.27896,40.02507,63.39448,-3.67946
,1,15.39948,-44.97953,40.53316,72.6764,-4.630434
,1,15.74976,-43.63767,40.92001,74.15091,-4.630585
,1,16.10001,-42.39143,41.14769,100.1917,-1.43037
,1,16.45038,-42.18117,41.08525,120.153,-2.00547
,1,16.80054,-42.15083,41.07145,113.1773,-0.3303701
