Player ID, trial, timestamp, x, y, rotx, roty
,1,0.3199463,-44.187,-2.6,182.6214,-1.980513
,1,0.6729126,-44.187,-2.6,182.6214,-1.980513
,1,1.039764,-44.2009,-2.946836,182.3463,-1.455202
,1,1.390076,-44.20997,-3.166944,181.8958,-3.28172
,1,1.75705,-44.20997,-3.166944,171.2369,-3.707073
,1,2.123871,-44.20997,-3.166944,150.1215,-3.256418
,1,2.473816,-44.20997,-3.166944,177.1915,-5.106078
,1,2.823761,-44.20997,-3.166944,192.3887,-5.006096
,1,3.173676,-44.20997,-3.166944,251.1528,-5.306041
,1,3.523621,-44.20997,-3.166944,298.4941,-4.106261
,1,3.873566,-44.20997,-3.166944,314.0912,-4.206243
,1,4.223511,-44.20997,-3.166944,333.6375,-6.330852
,1,4.573425,-44.20997,-3.166944,317.7905,-7.030724
,1,4.92337,-44.52393,-2.844908,315.4908,-7.030724
,1,5.273315,-45.47982,-1.909992,311.7416,-6.580807
,1,5.62323,-45.43605,-0.7048691,308.6671,-6.155886
,1,5.973175,-44.66781,0.4616641,298.6688,-4.881121
,1,6.32312,-44.75171,1.750644,293.6448,-4.881121
,1,6.673035,-45.98267,2.417547,286.9959,-4.156256
,1,7.02298,-47.26381,2.761538,284.8215,-3.881307
,1,7.372925,-47.55642,2.838967,284.8215,-3.881307
,1,7.722839,-47.55642,2.838967,325.514,-7.205698
,1,8.072784,-47.78279,3.2276,332.6127,-7.180702
,1,8.422729,-48.28138,4.496604,348.6348,-7.805586
,1,8.772675,-48.39422,5.879159,355.2586,-7.055724
,1,9.122589,-48.50784,7.263634,355.7836,-7.080719
,1,9.472534,-48.58699,8.650523,357.3336,-7.030729
,1,9.822479,-48.65031,10.03493,357.3836,-7.055724
,1,10.17239,-48.46841,10.56043,16.18018,-6.830766
,1,10.52234,-47.51591,10.17262,25.75348,-5.855946
,1,10.87228,-47.40788,10.1205,56.29785,-5.231061
,1,11.2222,-47.40788,10.1205,73.66962,-3.581364
,1,11.57217,-47.40788,10.1205,46.74951,-1.58173
,1,11.92209,-47.60661,10.63368,38.40106,-1.806689
,1,12.272,-46.98362,11.78167,23.90387,-5.031097
,1,12.62198,-46.53249,13.0984,14.98047,-5.605992
,1,12.97189,-46.16176,14.4412,15.03046,-5.655982
,1,13.32181,-45.9795,15.81115,2.457642,-8.655432
,1,13.67178,-45.94852,17.1943,357.7086,-8.530454
,1,14.0217,-46.17347,18.55752,346.6357,-8.305494
,1,14.37161,-46.49362,19.90508,346.6357,-8.305494
,1,14.72159,-46.65334,21.19793,342.1866,-10.05517
,1,15.0715,-45.88512,22.32808,337.7872,-10.60507
,1,15.42142,-45.286,23.86156,333.4379,-10.58008
,1,15.77139,-44.92659,25.48212,327.6639,-10.38011
,1,16.12131,-45.63324,26.66786,321.965,-9.780218
,1,16.47122,-46.40827,27.77884,327.5391,-10.4301
,1,16.8212,-46.10083,28.90803,320.4405,-9.780218
,1,17.17111,-45.08406,29.86807,311.2671,-9.15533
,1,17.5535,-45.12074,31.27389,301.818,-8.513269
,1,17.9205,-46.33909,32.06749,298.7655,-7.862703
,1,18.32083,-47.77284,32.74756,293.9859,-7.512335
,1,18.72116,-48.45732,33.05443,310.6002,-8.463128
,1,19.0881,-48.48299,33.11932,338.4235,-5.635678
,1,19.43839,-48.88097,34.13691,340.2732,-5.835642
,1,19.78873,-48.72219,35.47875,18.78992,-6.911331
,1,20.13901,-48.2704,36.794,19.11523,-7.111498
,1,20.48929,-47.75603,38.08012,36.55542,-7.461818
,1,20.83957,-47.04874,38.60353,56.02148,-7.486839
,1,21.18985,-46.93834,38.8431,14.08655,-5.735382
,1,21.54019,-46.72253,40.1269,9.98291,-5.109862
,1,21.89047,-46.50118,41.50459,6.855347,-5.184924
,1,22.24075,-46.51304,42.89651,353.2691,-4.73455
,1,22.59103,-46.72172,44.27725,350.4667,-4.684509
,1,22.94131,-47.01038,45.64359,347.5393,-4.10903
,1,23.2916,-47.31194,47.00823,347.5393,-4.10903
,1,23.6586,-46.91874,48.36265,345.1373,-4.55943
,1,24.00888,-46.13152,49.81067,341.3839,-4.909722
,1,24.35916,-45.44792,51.31027,338.5313,-4.959764
,1,24.70944,-44.93926,52.90875,335.2783,-4.759597
,1,25.05978,-45.39692,54.23606,334.6027,-4.709555
,1,25.41006,-45.77142,55.40603,333.3014,-4.55943
,1,25.76035,-44.75759,56.16555,324.2189,-3.158262
,1,26.11063,-43.9751,57.19221,319.1898,-2.657847
,1,26.46091,-44.15054,58.69776,314.7361,-3.158264
,1,26.81119,-43.95248,60.3335,308.5307,-3.583618
,1,27.16153,-43.3046,61.58046,297.4965,-2.908056
,1,27.51181,-43.08295,62.58797,296.0702,-3.008114
,1,27.86209,-43.07747,62.62218,294.5938,-2.933052
,1,28.21237,-43.07747,62.62218,293.2925,-2.933052
,1,28.56265,-43.35629,62.74191,293.2174,-2.933052
,1,28.91293,-44.57111,63.25732,292.8669,-2.933052
,1,29.28006,-45.04058,63.45461,292.5665,-2.933052
,1,29.64694,-45.32206,63.56821,291.7907,-3.158226
,1,30.01389,-46.59202,64.07072,291.5652,-3.233413
,1,30.39767,-46.96025,64.21625,291.5652,-3.233413
,1,30.7645,-46.96025,64.21625,309.8559,-5.385304
,1,31.11478,-46.96025,64.21625,340.6064,-6.461197
,1,31.48178,-46.96025,64.21625,44.09503,-11.03875
,1,31.84872,-46.96025,64.21625,99.04059,-9.137323
,1,32.21573,-46.96025,64.21625,124.0114,-9.912968
,1,32.56601,-46.96025,64.21625,155.6852,-9.787146
,1,32.91629,-46.96025,64.21625,157.8621,-9.23669
,1,33.26657,-46.96025,64.21625,150.3307,-10.36263
,1,33.61685,-46.96025,64.21625,106.5693,-10.93811
,1,33.96719,-46.96025,64.21625,97.21149,-9.887234
,1,34.31747,-46.96025,64.21625,98.31244,-9.43686
,1,34.66776,-46.90233,64.61271,98.31244,-9.43686
,1,35.01804,-46.48806,65.67159,98.26239,-9.486901
,1,35.36832,-45.19489,65.62633,89.95538,-10.61284
,1,35.7186,-43.87663,66.01752,71.13965,-9.561962
,1,36.06894,-42.53301,66.21445,99.48828,-9.336774
,1,36.41922,-41.19754,65.86063,107.395,-9.111587
,1,36.7695,-39.87019,65.47144,105.6432,-9.161628
,1,37.11978,-38.53624,65.10544,105.1928,-9.186648
,1,37.50345,-37.06936,64.72855,103.6914,-9.336747
,1,37.85373,-35.72605,64.4013,103.6914,-9.336747
,1,38.20401,-34.38273,64.07404,103.6914,-9.336747
,1,38.55429,-33.03941,63.74679,103.6914,-9.336747
,1,38.90463,-31.6961,63.41954,103.6914,-9.336747
,1,39.25491,-30.35278,63.09229,103.6914,-9.336747
,1,39.60519,-29.00947,62.76503,103.6914,-9.336747
,1,39.95547,-27.66615,62.43778,103.6914,-9.336747
,1,40.30576,-26.39322,62.28519,103.6914,-9.336747
,1,40.6561,-24.94281,62.95954,109.2209,-9.336747
,1,41.00638,-24.16294,62.86053,124.8339,-8.861353
,1,41.35666,-24.16294,62.86053,124.7839,-8.911394
,1,41.70694,-24.07918,62.98527,123.7829,-8.986456
,1,42.05722,-23.40129,63.9665,123.858,-8.986456
,1,42.4075,-22.31119,63.90215,125.2343,-9.036497
,1,42.75784,-21.18351,63.10005,125.8349,-8.961435
,1,43.10812,-20.06213,62.28879,125.8849,-8.961435
,1,43.4584,-19.08774,61.58383,125.8849,-8.961435
,1,43.80869,-18.85,61.82375,98.9375,-10.51273
,1,44.15897,-18.46438,62.90567,93.83325,-9.28671
,1,44.50925,-17.14205,63.00811,88.17871,-8.160772
,1,44.85959,-15.75542,63.05699,87.92847,-7.910565
,1,45.20987,-14.36833,63.10717,87.92847,-7.810482
,1,45.56015,-12.98163,63.17764,82.49878,-7.410148
,1,45.91043,-11.63097,63.51157,75.71814,-6.634503
,1,46.26071,-10.28203,63.85426,75.71814,-6.609482
,1,46.61099,-8.931783,64.19276,77.54456,-6.334254
,1,46.96133,-7.548829,64.16213,96.78558,-6.008985
,1,47.31161,-6.165157,63.99717,96.86066,-5.983964
,1,47.6619,-4.781993,63.82763,97.7865,-6.084047
,1,48.01218,-3.51216,63.30696,121.6816,-7.860527
,1,48.36246,-2.343388,62.59962,121.4064,-7.760445
,1,48.7128,-0.9512766,62.46093,142.9242,-9.261696
,1,49.06308,0.3184122,63.07611,160.3887,-8.586134
,1,49.41336,1.698696,63.30142,172.849,-8.48605
,1,49.76364,2.473947,62.61079,178.5287,-8.83634
